index,ride_id,rideable_type,user_type,day,month,type_week,season,trip_start_hour,start_station_name,start_user_total,end_station_name,end_user_total
2881,54AFFE0F28329501,docked_bike,casual,29,1,weekday,winter,19,Larrabee St & Armitage Ave,2709,Damen Ave & Chicago Ave,2719
2931,E85037564B4FAC0D,docked_bike,casual,31,1,weekday,winter,17,Broadway & Wilson Ave,2691,Southport Ave & Belmont Ave,2695
2986,08FC819B80D14DE6,docked_bike,casual,1,1,weekday,winter,22,Ashland Ave & Blackhawk St,2689,Ashland Ave & Blackhawk St,2674
2987,DF81DCB133CA69A3,docked_bike,casual,1,1,weekday,winter,19,Greenview Ave & Fullerton Ave,2681,Southport Ave & Wrightwood Ave,2673
2988,C11FD88653EA2971,docked_bike,casual,2,1,weekday,winter,14,Calumet Ave & 18th St,2673,Sheffield Ave & Willow St,2667
2989,FEA8355BCE3A075F,docked_bike,casual,2,1,weekday,winter,16,Southport Ave & Wrightwood Ave,2663,Lake Park Ave & 35th St,2664
3006,CAF2CEB799452E39,docked_bike,casual,7,1,weekday,winter,15,Halsted St & Willow St,2652,Burling St (Halsted) & Diversey Pkwy (Temp),2661
3023,9DECA046EF489495,docked_bike,casual,7,1,weekday,winter,10,Southport Ave & Belmont Ave,2649,Lake Park Ave & 53rd St,2653
3048,CE96F4A57DB0ECD5,docked_bike,casual,3,1,weekday,winter,10,Lake Park Ave & 35th St,2604,Dayton St & North Ave,2646
3053,ECA52965FC282BA8,docked_bike,casual,18,1,weekend,winter,13,Burling St (Halsted) & Diversey Pkwy (Temp),2602,Calumet Ave & 18th St,2600
3122,DFE6BEF39DEEE90B,docked_bike,casual,30,1,weekday,winter,17,Sheffield Ave & Kingsbury St,2592,Larrabee St & Armitage Ave,2574
3123,8E2376403AF7EA80,docked_bike,casual,30,1,weekday,winter,12,Rush St & Hubbard St,2586,Paulina Ave & North Ave,2560
3124,61E61084E0185E3A,docked_bike,casual,30,1,weekday,winter,19,Dayton St & North Ave,2583,Lincoln Ave & Belmont Ave,2532
3125,30755398A868C8F3,docked_bike,casual,30,1,weekday,winter,23,State St & Van Buren St,2581,Eckhart Park,2524
3126,B64FCEF8A98E6EDB,docked_bike,casual,30,1,weekday,winter,21,Paulina Ave & North Ave,2532,Broadway & Thorndale Ave,2516
3190,548E7317672E1745,docked_bike,casual,29,1,weekday,winter,18,Wells St & Walton St,2515,Clifton Ave & Armitage Ave,2501
3193,E114497F3D52B78C,docked_bike,casual,10,1,weekday,winter,19,Orleans St & Chestnut St (NEXT Apts),2500,Lincoln Ave & Roscoe St,2499
3195,EE0F8504C98D0B11,docked_bike,casual,14,1,weekday,winter,6,Damen Ave & Chicago Ave,2491,Sheffield Ave & Fullerton Ave,2493
3201,C9C6AD6F00BCC582,docked_bike,casual,7,1,weekday,winter,17,Wabash Ave & 16th St,2473,Halsted St & Willow St,2492
3281,B8E07C4CF089B2AE,docked_bike,casual,5,1,weekend,winter,15,Sheridan Rd & Buena Ave,2472,Rush St & Hubbard St,2464
3282,8E1C70445981942F,docked_bike,casual,31,1,weekday,winter,13,Lake Park Ave & 53rd St,2468,Franklin St & Chicago Ave,2446
3298,5A03A6DB4E767F1A,docked_bike,casual,28,1,weekday,winter,13,Lincoln Ave & Belmont Ave,2466,Desplaines St & Jackson Blvd,2437
3310,ED418FE5085D339C,docked_bike,casual,23,1,weekday,winter,20,Clifton Ave & Armitage Ave,2466,Broadway & Berwyn Ave,2413
3420,8735ED73FDCAD5BF,docked_bike,casual,5,1,weekend,winter,12,Eckhart Park,2433,Racine Ave & Fullerton Ave,2387
3452,EFBC7D1F6F36E3FD,docked_bike,casual,30,1,weekday,winter,19,Sheffield Ave & Willow St,2433,Orleans St & Chestnut St (NEXT Apts),2376
3454,C8CAA5A7923A1152,docked_bike,casual,31,1,weekday,winter,15,Sedgwick St & Huron St,2432,Noble St & Milwaukee Ave,2365
3470,F8ACC5664133ECB2,docked_bike,casual,21,1,weekday,winter,14,Racine Ave & Fullerton Ave,2408,Broadway & Argyle St,2361
3473,A00AFF2CF3298741,docked_bike,casual,10,1,weekday,winter,16,Lincoln Ave & Roscoe St,2407,Sheridan Rd & Loyola Ave,2360
3495,F3B699D3D609E9B7,docked_bike,casual,16,1,weekday,winter,12,Desplaines St & Jackson Blvd,2402,Sheridan Rd & Buena Ave,2337
3503,E27E8158C422917A,docked_bike,casual,3,1,weekday,winter,17,Canal St & Adams St,2326,State St & Van Buren St,2303
3527,00B668D4159C26EA,docked_bike,casual,5,1,weekend,winter,11,Broadway & Thorndale Ave,2322,Ogden Ave & Race Ave,2294
3528,3.64484E+15,docked_bike,casual,5,1,weekend,winter,11,Noble St & Milwaukee Ave,2306,Orleans St & Merchandise Mart Plaza,2277
3529,AB46E39F21D095F7,docked_bike,casual,6,1,weekday,winter,11,Broadway & Berwyn Ave,2304,Wentworth Ave & Cermak Rd,2276
3586,4DCCBD3C1DDBF5FE,docked_bike,casual,7,1,weekday,winter,17,Broadway & Argyle St,2299,Wabash Ave & 16th St,2259
3619,C630B1FA83875EDC,docked_bike,casual,28,1,weekday,winter,7,Sheridan Rd & Loyola Ave,2266,Sedgwick St & Huron St,2255
3644,11AA94EFB21157F7,docked_bike,casual,15,1,weekday,winter,6,Damen Ave & Division St,2255,Ogden Ave & Chicago Ave,2246
3651,FF38E6DE7F750CDA,docked_bike,casual,27,1,weekday,winter,17,Ogden Ave & Chicago Ave,2246,Broadway & Ridge Ave,2227
3690,0C1872865C5A7C21,docked_bike,casual,30,1,weekday,winter,17,Broadway & Ridge Ave,2235,Sangamon St & Washington Blvd,2223
3700,5F2BE358AE542FC2,docked_bike,casual,13,1,weekday,winter,14,Clarendon Ave & Leland Ave,2224,Clarendon Ave & Leland Ave,2213
3738,F70D328A6CB4DFCA,docked_bike,casual,10,1,weekday,winter,7,Field Museum,2219,Loomis St & Lexington St,2208
3739,86D40DF980FD16CF,docked_bike,casual,10,1,weekday,winter,7,Ravenswood Ave & Lawrence Ave,2210,Clark St & Winnemac Ave,2199
3763,5F6DCD62033B4949,docked_bike,casual,20,1,weekday,winter,5,Carpenter St & Huron St,2188,LaSalle St & Washington St,2184
3820,2C6F2B08BD6BF993,docked_bike,casual,6,1,weekday,winter,17,Ogden Ave & Race Ave,2177,Aberdeen St & Randolph St,2128
3837,08EFEFA7AB43D856,docked_bike,casual,21,1,weekday,winter,17,Larrabee St & Kingsbury St,2171,Clark St & Leland Ave,2116
3860,0BB574A7D49876CC,docked_bike,casual,25,1,weekend,winter,18,Aberdeen St & Jackson Blvd,2120,Clinton St & Roosevelt Rd,2102
3868,7B463EBEE3DEFF0A,docked_bike,casual,19,1,weekend,winter,20,Clark St & 9th St (AMLI),2118,Damen Ave & Division St,2071
